name,split,map_loss,map_loss.stderr,context,patch,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
history/t1x4,all,0.11672984124073028,0.0007098483283392303,1,4,3.3087261197328357,0.02041651703908039,1.0316883548398978,0.00629046435948213
history/t1x4,bike,0.10641101589428789,0.0010035499090119756,1,4,3.331636342176671,0.04190415039497034,0.9996451988834293,0.011273308155702277
history/t1x4,indoor,0.14703258595911511,0.0015162115868195016,1,4,3.1604429680779336,0.0272355600936407,1.1980969439503848,0.012005532667203098
history/t1x4,outdoor,0.10539669184390447,0.0009158794450643586,1,4,3.3872081745558056,0.04256453415040013,0.9488989830586291,0.009521121461064621
history/t2x1,all,0.11722096412358192,0.0006995837424629671,2,1,3.3441306109419506,0.018204594724749716,1.0240879341727236,0.0061357900970224555
history/t2x1,bike,0.10762461082170621,0.0009072780831435844,2,1,3.4268803170034103,0.03609459239151418,0.9990143060623006,0.01157190933183061
history/t2x1,indoor,0.1466613146564251,0.0015464566205683134,2,1,3.1986403187556673,0.024361113867432487,1.2003019576387435,0.011065282033504117
history/t2x1,outdoor,0.10585240755991461,0.0007946347814167222,2,1,3.370826350948074,0.0353897014792227,0.9290266841895842,0.009563370152639248
history/t2x2,all,0.11478400616804586,0.000636828248630933,2,2,3.3852350579510855,0.018313778049528138,1.042685497955751,0.005890560071877734
history/t2x2,bike,0.10569026793571926,0.0008967918962077564,2,2,3.404864026805031,0.037024782068198626,0.9994887111079535,0.011109496748188527
history/t2x2,indoor,0.14557815242757666,0.0014368095815312852,2,2,3.2333698065611123,0.02270391572070822,1.2242648501255493,0.010655293777707802
history/t2x2,outdoor,0.10210481552633793,0.0007025290172736562,2,2,3.4688131284146735,0.04171488478670834,0.959219881050763,0.009522732172727129
history/t2x4,all,0.11490738339185738,0.0006584029157344958,2,4,3.32974029442098,0.02161192209494216,1.0233069527489933,0.006828382978315606
history/t2x4,bike,0.10403776418860694,0.0008965804340543754,2,4,3.364294947013311,0.046380870820071494,0.9712880383465953,0.012436076085860549
history/t2x4,indoor,0.14749177081880216,0.0014838784371050294,2,4,3.19345923135942,0.027052707103239145,1.1931210184603938,0.013364380956938924
history/t2x4,outdoor,0.1025320756311885,0.0007480591633203696,2,4,3.390602522458412,0.04711151109448632,0.9549501046401297,0.010118153210473725
history/t4x1,all,0.11366722047732909,0.0006508015825750213,4,1,3.231805876141833,0.020871627118623767,0.988659750699833,0.006453670092378587
history/t4x1,bike,0.10359385098295809,0.0007987585754531364,4,1,3.2150435673425983,0.04040344096139077,0.9349714153771406,0.01255300839501254
history/t4x1,indoor,0.14611855288472717,0.0015043666915161165,4,1,3.146595129734254,0.027292148752889378,1.1932354513961545,0.0119623339836018
history/t4x1,outdoor,0.10071491435100163,0.0007364689047016681,4,1,3.301886296160262,0.042886332566290666,0.8988150150934301,0.009740855178787998
history/t4x2,all,0.11366638117648684,0.0007222082380988574,4,2,3.3875260135301053,0.021706472025069957,0.9978554184878695,0.007502410953423
history/t4x2,bike,0.10252356591308075,0.0008879063905919596,4,2,3.5475694189798688,0.038645984688910597,0.9586863678449635,0.01122465452705231
history/t4x2,indoor,0.14678647567991326,0.0016491670561508335,4,2,3.1363869853060846,0.03063160157558474,1.1616801152612122,0.015865207920121888
history/t4x2,outdoor,0.10116655003452933,0.0008151196012593187,4,2,3.419244410265828,0.04460394900552982,0.9227147992133817,0.01132213105522733
history/t4x4,all,0.11372876520909046,0.0007491944577085338,4,4,3.2308516630242607,0.025729803765340648,0.9604020740226893,0.00819577098164156
history/t4x4,bike,0.10068323207344798,0.001008382771095238,4,4,3.159620682226541,0.052656087691262406,0.8840073933849144,0.012940178189271812
history/t4x4,indoor,0.14698229450024414,0.0016232210092473728,4,4,3.0792933057822416,0.03798614696110285,1.1543721191962522,0.017914604066605642
history/t4x4,outdoor,0.10272932203669483,0.0009814567307820142,4,4,3.3900688004070827,0.04946693811089995,0.8964911601089635,0.01126049941290424
small/base,all,0.1253671821284746,0.0,1,1,3.9206138425744035,0.0,1.1826085546913367,0.0
small/base,bike,0.112902241621136,0.0,1,1,3.9247469266803563,0.0,1.0932728734278172,0.0
small/base,indoor,0.15864277225230175,0.0,1,1,3.531071629931878,0.0,1.3682890532363814,0.0
small/base,outdoor,0.1138685654450362,0.0,1,1,4.173574923863306,0.0,1.1349559966254994,0.0
