name,split,map_loss,map_loss.stderr,size,data,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
large/base,all,0.12498678984508779,0.0015170109359509798,l,100,3.8282796858792985,0.04080790783874681,1.1576203078296947,0.014273956863337064
large/base,bike,0.11396148579837054,0.001689805345332071,l,100,3.8742270267421826,0.08016394196609296,1.111991911131273,0.0239395946323483
large/base,indoor,0.1542157634606331,0.0034469452362228406,l,100,3.5253410385473822,0.05806026721184409,1.3380105043359993,0.0229019202806186
large/base,outdoor,0.1149551789173781,0.0016315063932596506,l,100,3.9892811653738467,0.0773034992473363,1.0769983246890347,0.026172563036811307
large/p10,all,0.15868641048588053,0.0006305948689793122,l,10,5.531835945891205,0.021879891683817824,1.7209627848598485,0.008265413774841534
large/p10,bike,0.13630302449056508,0.0008135011031081016,l,10,5.411245830125738,0.04097739343487749,1.5694550409655779,0.013812731336582567
large/p10,indoor,0.20903752604651027,0.0013446988878134808,l,10,5.187559576397285,0.03012037711814087,2.0678814923742213,0.013202443188025813
large/p10,outdoor,0.14423573081137833,0.0009133637270467217,l,10,5.859050599746026,0.045138848029880385,1.6191327062391947,0.015888724478350897
large/p20,all,0.14866844994967196,0.0008330000198108504,l,20,5.1063030515985295,0.0271621480157431,1.544594414199876,0.010339883609326939
large/p20,bike,0.12771828511343433,0.0011501692701257093,l,20,5.111402085853587,0.055426992180791904,1.3386622378936177,0.017776904499854175
large/p20,indoor,0.19186442518948202,0.001706619008295788,l,20,4.711848219682879,0.03634009032684095,1.8992955454291827,0.017246644370874704
large/p20,outdoor,0.13773002057802053,0.0012657903592833233,l,20,5.361624764767981,0.054494357355510704,1.4830720202031793,0.019724678561659922
large/p50,all,0.13484564113796638,0.0012740277737191977,l,50,4.519337940600622,0.03891797536519705,1.3210571115993888,0.012956872057913424
large/p50,bike,0.12056258147865574,0.001311950588408556,l,50,4.74116307415961,0.08611021416210593,1.2320413310147,0.023260497313425915
large/p50,indoor,0.16890703284839115,0.003053137146356503,l,50,4.034936471217335,0.05344176918572522,1.575123657351437,0.02141746312257759
large/p50,outdoor,0.12435324641701473,0.001385053816231996,l,50,4.652947667569346,0.0691152943002966,1.2281669305855174,0.022857372921502542
medium/base,all,0.1265755207534171,0.0014271158936979968,m,100,4.109538700431471,0.03917433055651278,1.2069756522699793,0.013857594090908644
medium/base,bike,0.11494523495924062,0.0018700793402502691,m,100,4.029676846200374,0.08139983358453996,1.099474054561201,0.024291655543400133
medium/base,indoor,0.15713179425218543,0.003157616312672659,m,100,3.823863834511299,0.055138637494253545,1.4523279840509624,0.02288803507946358
medium/base,outdoor,0.11617543754589893,0.0015158039088276514,m,100,4.364193670537476,0.0741062535862561,1.135250761157265,0.025252884511823115
medium/p10,all,0.15880071069194934,0.0006579558372732798,m,10,5.441325622502777,0.02179705078314498,1.681821791126305,0.008592985285750795
medium/p10,bike,0.13721784256548078,0.000835767538752702,m,10,5.469877240734631,0.03613900447358551,1.514026643663624,0.011346114754190747
